Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM4,1,1,1,0,OK,21999,11818,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM1,1,0,1,0,WEIRD,5335,29318,2,5.771172990910403e-05,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM7,1,1,1,0,OK,4636,29330,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM6,1,1,1,0,OK,2751,31837,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM4,1,1,1,0,OK,2864,18434,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM8,1,1,1,0,OK,2741,29875,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM7,1,1,1,0,OK,1326,33307,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM6,1,1,1,0,OK,9111,25502,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM4,1,1,1,0,OK,0,34621,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221017T203313_SmallPatches_C5-CAM6,1,0,1,0,WEIRD,5513,29132,1,2.8863360849737343e-05,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM5,1,1,1,0,OK,2701,31636,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T194409_SmallPatches_C5-CAM6,1,1,1,0,OK,19010,15447,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM3,1,0,1,0,WEIRD,556,8043,25372,0.7468723322834182,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T143258_SmallPatches_C1-CAM5,1,1,1,0,OK,581,1128,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T112832_SmallPatches_C3-CAM8,1,1,1,0,OK,8375,26276,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200026_SmallPatches_C4-CAM5,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T200335_SmallPatches_C6-CAM8,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T192239_SmallPatches_C3-CAM7,1,1,1,0,OK,628,33584,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T193945_SmallPatches_C5-CAM2,1,1,1,0,OK,806,33816,0,0.0,1 worm clean
